transaction_id,transaction_date,customer,product,channel,quantity,revenue
T100032,2025-09-17,CUST-0010,Delta Backpack,retail,3,56.67
T100033,2025-10-24,CUST-0050,Aurora Desk Lamp,email,6,299.36
T100034,2025-09-02,CUST-0049,Aurora Desk Lamp,paid_search,1,605.40
T100035,2025-08-11,CUST-0052,Delta Backpack,affiliate,9,1474.72
T100036,2025-09-08,CUST-0027,Aurora Desk Lamp,paid_search,9,1681.73
T100037,2025-07-15,CUST-0058,Basalt Mug,organic,7,766.56
T100038,2025-12-21,CUST-0007,Delta Backpack,organic,5,1588.69
T100039,2025-08-06,CUST-0027,Basalt Mug,organic,3,2375.81
T100040,2025-06-11,CUST-0025,Cirrus Notebook,paid_search,1,232.16
T100041,2025-09-20,CUST-0007,Aurora Desk Lamp,email,2,717.54
T100042,2025-05-09,CUST-0044,Cirrus Notebook,organic,5,106.54
T100043,2025-07-05,CUST-0045,Basalt Mug,affiliate,8,1293.40
T100044,2025-07-03,CUST-0005,Cirrus Notebook,email,2,654.19
T100045,2025-02-15,CUST-0034,Basalt Mug,affiliate,7,39.57
T100046,2025-02-06,CUST-0014,Cirrus Notebook,organic,4,637.41
T100047,2025-08-17,CUST-0002,Ember Kettle,paid_search,6,1617.11
T100048,2025-09-07,CUST-0032,Ember Kettle,organic,8,1239.99
T100049,2025-07-17,CUST-0041,Basalt Mug,organic,4,746.99
T100050,2025-07-12,CUST-0011,Aurora Desk Lamp,organic,1,2356.73
T100051,2025-02-22,CUST-0012,Basalt Mug,affiliate,5,2020.95
T100052,2025-05-15,CUST-0057,Cirrus Notebook,paid_search,6,20.65
T100053,2025-04-12,CUST-0016,Ember Kettle,paid_search,7,448.90
T100054,2025-01-03,CUST-0020,Basalt Mug,email,3,642.83
T100055,2025-02-19,CUST-0019,Ember Kettle,organic,7,2298.84
T100056,2025-11-05,CUST-0034,Ember Kettle,affiliate,7,116.57
T100057,2025-10-27,CUST-0007,Delta Backpack,email,4,1953.22
T100058,2025-08-18,CUST-0052,Aurora Desk Lamp,email,-,133.26
T100059,2025-12-17,CUST-0005,Cirrus Notebook,email,9,2156.08
T100060,2025-04-24,CUST-0044,Cirrus Notebook,organic,8,1818.38
T100061,2025-01-20,CUST-0045,Cirrus Notebook,organic,2,1523.11
T100062,2025-10-19,CUST-0014,Delta Backpack,retail,1,330.66
T100063,2025-05-23,CUST-0013,Cirrus Notebook,retail,8,1245.49
T100064,2025-02-16,CUST-0018,Delta Backpack,retail,2,53.80
T100065,2025-04-07,CUST-0039,Ember Kettle,email,3,190.18
T100066,2025-05-04,CUST-0001,Delta Backpack,organic,8,1691.57
T100067,2025-11-15,CUST-0001,Cirrus Notebook,organic,7,980.14
T100068,2025-06-27,CUST-0026,Delta Backpack,organic,1,963.04
T100069,2025-10-03,CUST-0043,Cirrus Notebook,retail,5,873.37
T100070,2025-11-05,CUST-0028,Aurora Desk Lamp,paid_search,7,607.39
T100071,2025-11-13,CUST-0027,Delta Backpack,affiliate,9,2193.26
T100072,2025-10-25,CUST-0031,Delta Backpack,paid_search,8,N/A
T100073,2025-06-10,CUST-0026,Aurora Desk Lamp,paid_search,7,723.08
T100074,2025-03-21,CUST-0059,Cirrus Notebook,organic,9,398.04
T100075,2025-08-14,CUST-0016,Cirrus Notebook,organic,4,345.36
T100076,2025-05-26,CUST-0018,Cirrus Notebook,email,7,1372.25
T100077,2025-01-16,CUST-0055,Basalt Mug,paid_search,3,674.71
T100078,2025-02-09,CUST-0053,Aurora Desk Lamp,retail,7,2153.53
T100079,2025-03-02,CUST-0053,Ember Kettle,retail,8,
T100080,2025-08-15,CUST-0053,Delta Backpack,email,4,605.34
T100081,2025-02-18,CUST-0020,Basalt Mug,email,3,1867.15
T100082,2025-11-09,CUST-0013,Delta Backpack,retail,2,1273.47
T100083,2025-05-08,CUST-0021,Basalt Mug,email,1,1899.68
T100084,2025-08-17,CUST-0002,Basalt Mug,organic,1,572.63
T100085,2025-08-22,CUST-0032,Aurora Desk Lamp,email,5,1557.44
T100086,2025-12-11,CUST-0033,Aurora Desk Lamp,paid_search,7,1727.38
T100087,2025-04-16,CUST-0019,Aurora Desk Lamp,paid_search,4,2328.02
T100088,2025-10-16,CUST-0010,Delta Backpack,organic,8,1468.91
T100089,2025-01-07,CUST-0029,Cirrus Notebook,affiliate,3,68.43
T100090,2025-12-04,CUST-0030,Aurora Desk Lamp,organic,6,2394.10
T100091,2025-05-22,CUST-0006,Cirrus Notebook,paid_search,6,1744.20
T100092,2025-07-04,CUST-0028,Aurora Desk Lamp,organic,7,1351.98
T100093,2025-01-23,CUST-0058,Delta Backpack,paid_search,9,1142.63
T100094,2025-01-21,CUST-0004,Cirrus Notebook,retail,1,992.99
T100095,2025-04-24,CUST-0003,Cirrus Notebook,affiliate,6,162.09
T100096,2025-12-23,CUST-0041,Aurora Desk Lamp,paid_search,5,
T100097,2025-01-27,CUST-0028,Delta Backpack,retail,8,570.47
T100098,2025-03-16,CUST-0024,Ember Kettle,paid_search,3,448.86
T100099,2025-02-17,CUST-0035,Cirrus Notebook,organic,4,483.18
T100100,2025-03-14,CUST-0046,Delta Backpack,email,5,2121.74
T100101,2025-03-08,CUST-0008,Cirrus Notebook,retail,4,329.44
T100102,2025-05-09,CUST-0016,Basalt Mug,paid_search,5,1365.72
T100103,2025-03-10,CUST-0033,Ember Kettle,affiliate,4,2123.39
T100104,2025-04-21,CUST-0054,Delta Backpack,retail,1,1942.56
T100105,2025-06-02,CUST-0013,Aurora Desk Lamp,organic,2,N/A
T100106,2025-06-17,CUST-0041,Ember Kettle,retail,-,2080.31
T100107,2025-12-20,CUST-0003,Ember Kettle,email,6,847.08
T100108,2025-12-21,CUST-0005,Basalt Mug,email,6,2194.52
T100109,2025-01-26,CUST-0010,Ember Kettle,retail,2,1195.55
T100110,2025-02-21,CUST-0004,Cirrus Notebook,paid_search,7,402.89
T100111,2025-12-19,CUST-0042,Basalt Mug,retail,7,
T100112,2025-07-24,CUST-0026,Ember Kettle,email,7,979.08
T100113,2025-06-15,CUST-0026,Aurora Desk Lamp,organic,1,N/A
T100114,2025-10-20,CUST-0060,Aurora Desk Lamp,affiliate,3,2226.22
T100115,2025-02-13,CUST-0031,Cirrus Notebook,organic,5,1183.34
T100116,2025-01-20,CUST-0011,Basalt Mug,retail,2,2223.69
T100117,2025-10-13,CUST-0034,Basalt Mug,organic,8,1479.97
T100118,2025-07-12,CUST-0003,Cirrus Notebook,organic,4,N/A
T100119,2025-02-13,CUST-0025,Cirrus Notebook,affiliate,5,1443.65
T100120,2025-08-17,CUST-0049,Ember Kettle,email,1,1058.79
T100121,2025-08-27,CUST-0006,Delta Backpack,retail,7,440.81
T100122,2025-09-17,CUST-0033,Aurora Desk Lamp,email,3,1581.14
T100123,2025-01-25,CUST-0045,Aurora Desk Lamp,retail,3,
T100124,2025-04-05,CUST-0051,Basalt Mug,retail,5,2356.37
T100125,2025-02-27,CUST-0030,Basalt Mug,paid_search,3,849.94
T100126,2025-05-17,CUST-0024,Aurora Desk Lamp,retail,4,2314.81
T100127,2025-04-06,CUST-0008,Ember Kettle,paid_search,6,975.48
T100128,2025-01-21,CUST-0017,Ember Kettle,retail,9,2061.59
T100129,2025-11-28,CUST-0022,Aurora Desk Lamp,paid_search,5,953.48
T100130,2025-08-08,CUST-0056,Ember Kettle,email,5,434.09
T100131,2025-11-11,CUST-0033,Cirrus Notebook,email,4,1762.50
T100132,2025-01-05,CUST-0007,Ember Kettle,,1,
T100133,2025-06-18,CUST-0031,Basalt Mug,affiliate,5,547.53
T100134,2025-03-01,CUST-0043,Cirrus Notebook,organic,3,2248.58
T100135,2025-07-26,CUST-0042,Ember Kettle,email,1,643.00
T100136,2025-08-20,CUST-0002,Delta Backpack,,4,2249.93
T100137,2025-03-08,CUST-0027,Basalt Mug,email,1,392.21
T100138,2025-09-20,CUST-0057,Delta Backpack,retail,3,1546.75
T100139,2025-12-18,CUST-0007,Cirrus Notebook,retail,8,27.16
T100140,2025-04-21,CUST-0028,Ember Kettle,paid_search,5,104.70
T100141,2025-05-10,CUST-0016,Basalt Mug,,2,1545.10
T100142,2025-03-24,CUST-0041,Ember Kettle,organic,7,2196.92
T100143,2025-08-16,CUST-0020,Basalt Mug,email,1,2017.23
T100144,2025-07-20,CUST-0060,Basalt Mug,affiliate,3,1409.77
T100145,2025-06-05,CUST-0005,Aurora Desk Lamp,email,1,1685.37
T100146,2025-02-28,CUST-0005,Delta Backpack,paid_search,4,1422.05
T100147,2025-02-08,CUST-0041,Aurora Desk Lamp,email,1,
T100148,2025-11-21,CUST-0021,Cirrus Notebook,email,3,698.23
T100149,2025-07-09,CUST-0050,Ember Kettle,paid_search,5,N/A
T100150,2025-09-16,CUST-0007,Cirrus Notebook,affiliate,1,2045.09
T100151,2025-08-23,CUST-0019,Basalt Mug,affiliate,4,126.90
T100152,2025-07-01,CUST-0051,Basalt Mug,paid_search,1,
T100153,2025-08-19,CUST-0045,Basalt Mug,affiliate,5,841.08
T100154,2025-08-06,CUST-0041,Cirrus Notebook,email,8,274.50
T100155,2025-06-04,CUST-0020,Cirrus Notebook,retail,2,970.23
T100156,2025-07-18,CUST-0045,Ember Kettle,retail,4,1208.84
T100157,2025-11-02,CUST-0048,Cirrus Notebook,paid_search,9,844.18
T100158,2025-03-15,CUST-0016,Ember Kettle,paid_search,4,1059.85
T100159,2025-04-09,CUST-0039,Ember Kettle,affiliate,3,732.00
T100160,2025-06-06,CUST-0043,Aurora Desk Lamp,organic,5,576.08
T100161,2025-04-13,CUST-0041,Aurora Desk Lamp,organic,5,372.49
T100162,2025-05-07,CUST-0015,Ember Kettle,retail,1,
T100163,2025-11-10,CUST-0059,Delta Backpack,organic,5,1118.31
T100164,2025-12-19,CUST-0042,Ember Kettle,retail,4,1414.78
T100165,2025-04-22,CUST-0058,Delta Backpack,email,8,445.43
T100166,2025-04-26,CUST-0055,Delta Backpack,organic,5,967.52
T100167,2025-09-22,CUST-0007,Aurora Desk Lamp,organic,6,1590.71
T100168,2025-05-18,CUST-0014,Delta Backpack,organic,9,532.30
T100169,2025-09-01,CUST-0044,Basalt Mug,paid_search,9,1538.56
T100170,2025-07-17,CUST-0004,Aurora Desk Lamp,email,6,1833.33
T100171,2025-02-14,CUST-0034,Basalt Mug,paid_search,5,2198.06
T100172,2025-07-15,CUST-0036,Basalt Mug,organic,2,518.29
T100173,2025-03-12,CUST-0050,Delta Backpack,retail,8,1602.50
T100174,2025-06-26,CUST-0031,Aurora Desk Lamp,paid_search,7,2043.40
T100175,2025-12-26,CUST-0006,Cirrus Notebook,organic,5,683.53
T100176,2025-03-10,CUST-0009,Ember Kettle,email,2,2052.42
T100177,2025-06-21,CUST-0007,Ember Kettle,email,4,1402.90
T100178,2025-03-28,CUST-0035,Basalt Mug,retail,6,569.94
T100179,2025-10-23,CUST-0045,Basalt Mug,email,9,1464.78
T100180,2025-09-03,CUST-0009,Delta Backpack,retail,2,1783.69
T100181,2025-08-18,CUST-0039,Aurora Desk Lamp,retail,3,151.59
T100182,2025-03-27,CUST-0027,Aurora Desk Lamp,affiliate,8,777.79
T100183,2025-03-21,CUST-0022,Aurora Desk Lamp,email,1,872.58
T100184,2025-09-16,CUST-0007,Cirrus Notebook,organic,1,1169.41
T100185,2025-06-16,CUST-0004,Cirrus Notebook,affiliate,4,1871.12
T100186,2025-05-12,CUST-0014,Delta Backpack,retail,6,1988.63
T100187,2025-02-11,CUST-0003,Delta Backpack,paid_search,3,471.23
T100188,2025-12-18,CUST-0053,Delta Backpack,affiliate,1,2126.82
T100189,2025-10-25,CUST-0045,Ember Kettle,affiliate,9,1583.34
T100190,2025-11-03,CUST-0050,Aurora Desk Lamp,retail,3,519.45
T100191,2025-11-01,CUST-0027,Aurora Desk Lamp,organic,5,892.86
T100192,2025-06-01,CUST-0050,Delta Backpack,affiliate,1,1040.45
T100193,2025-10-23,CUST-0043,Basalt Mug,retail,2,
T100194,2025-08-25,CUST-0001,Delta Backpack,email,2,996.85
T100195,2025-01-01,CUST-0018,Ember Kettle,email,2,1644.82
T100196,2025-04-15,CUST-0010,Aurora Desk Lamp,organic,1,1763.74
T100197,2025-05-21,CUST-0004,Aurora Desk Lamp,retail,8,1343.28
T100198,2025-01-02,CUST-0056,Delta Backpack,affiliate,2,47.17
T100199,2025-10-02,CUST-0008,Cirrus Notebook,affiliate,8,767.28
T100200,2025-11-06,CUST-0051,Ember Kettle,retail,8,1515.74
T100201,2025-06-10,CUST-0010,Ember Kettle,affiliate,6,680.42
T100202,2025-05-19,CUST-0015,Delta Backpack,organic,7,1035.41
T100203,2025-05-23,CUST-0057,Aurora Desk Lamp,paid_search,5,16.02
T100204,2025-05-27,CUST-0044,Delta Backpack,affiliate,3,347.92
T100205,2025-06-18,CUST-0060,Basalt Mug,affiliate,8,215.13
T100206,2025-05-20,CUST-0001,Delta Backpack,retail,8,149.45
T100207,2025-08-18,CUST-0057,Ember Kettle,paid_search,2,221.43
T100208,2025-06-16,CUST-0019,Cirrus Notebook,organic,4,1220.73
T100209,2025-10-19,CUST-0056,Aurora Desk Lamp,affiliate,3,869.03
T100210,2025-06-21,CUST-0039,Aurora Desk Lamp,email,3,1118.68
T100211,2025-02-02,CUST-0018,Delta Backpack,affiliate,8,500.69
T100212,2025-02-15,CUST-0012,Delta Backpack,affiliate,3,1844.19
T100213,2025-02-01,CUST-0059,Aurora Desk Lamp,affiliate,6,133.78
T100214,2025-10-21,CUST-0059,Ember Kettle,email,2,960.98
T100215,2025-07-06,CUST-0003,Cirrus Notebook,organic,6,1082.64
T100216,2025-06-02,CUST-0049,Delta Backpack,email,1,2167.78
T100217,2025-01-04,CUST-0049,Aurora Desk Lamp,email,4,357.78
T100218,2025-08-11,CUST-0052,Basalt Mug,retail,2,899.59
T100219,2025-11-01,CUST-0040,Cirrus Notebook,organic,1,1129.34
T100220,2025-12-05,CUST-0022,Cirrus Notebook,email,7,1870.62
T100221,2025-04-16,CUST-0029,Ember Kettle,paid_search,3,288.08
T100222,2025-03-15,CUST-0054,Cirrus Notebook,paid_search,7,2091.29
T100223,2025-06-26,CUST-0033,Aurora Desk Lamp,retail,2,412.70
T100224,2025-11-26,CUST-0013,Cirrus Notebook,organic,9,1607.85
T100225,2025-07-09,CUST-0054,Cirrus Notebook,organic,2,2395.43
T100226,2025-03-21,CUST-0034,Cirrus Notebook,affiliate,6,50.28
T100227,2025-03-12,CUST-0034,Basalt Mug,retail,4,1051.38
T100228,2025-12-06,CUST-0012,Basalt Mug,email,2,481.75
T100229,2025-03-20,CUST-0027,Aurora Desk Lamp,organic,5,1611.72
T100230,2025-09-26,CUST-0009,Cirrus Notebook,paid_search,8,842.17
T100231,2025-04-06,CUST-0001,Cirrus Notebook,paid_search,1,1356.75
T100232,2025-09-15,CUST-0059,Cirrus Notebook,email,2,2325.34
T100233,2025-12-28,CUST-0033,Aurora Desk Lamp,email,5,922.76
T100234,2025-09-26,CUST-0007,Cirrus Notebook,email,4,1295.15
T100235,2025-05-18,CUST-0002,Ember Kettle,email,1,1963.36
T100236,2025-11-19,CUST-0003,Cirrus Notebook,organic,8,1119.89
T100237,2025-02-15,CUST-0035,Ember Kettle,affiliate,5,1190.70
T100238,2025-04-28,CUST-0041,Delta Backpack,affiliate,8,554.16
T100239,2025-12-14,CUST-0024,Cirrus Notebook,affiliate,9,
T100240,2025-07-08,CUST-0034,Basalt Mug,retail,6,2014.50
T100241,2025-11-12,CUST-0028,Basalt Mug,retail,1,607.29
T100242,2025-09-22,CUST-0041,Aurora Desk Lamp,organic,7,61.74
T100243,2025-01-02,CUST-0052,Aurora Desk Lamp,affiliate,5,2079.07
T100244,2025-10-04,CUST-0020,Cirrus Notebook,affiliate,1,610.39
T100245,2025-11-06,CUST-0060,Basalt Mug,affiliate,9,299.47
T100246,2025-08-04,CUST-0048,Ember Kettle,paid_search,7,1233.78
T100247,2025-05-27,CUST-0030,Ember Kettle,affiliate,4,1096.49
T100248,2025-05-20,CUST-0025,Ember Kettle,paid_search,1,1153.12
T100249,2025-07-01,CUST-0057,Basalt Mug,organic,4,2218.97
T100250,2025-05-02,CUST-0004,Ember Kettle,organic,9,1855.84
T100251,2025-07-27,CUST-0010,Delta Backpack,email,9,1062.47
T100252,2025-06-22,CUST-0048,Delta Backpack,organic,5,853.66
T100253,2025-05-26,CUST-0038,Aurora Desk Lamp,,7,1518.03
T100254,2025-08-13,CUST-0039,Aurora Desk Lamp,affiliate,3,2311.03
T100255,2025-07-28,CUST-0036,Ember Kettle,retail,5,1092.05
T100256,2025-07-21,CUST-0010,Delta Backpack,retail,7,780.92
T100257,2025-10-13,CUST-0021,Basalt Mug,email,6,1400.82
T100258,2025-07-01,CUST-0040,Delta Backpack,paid_search,8,73.07
T100259,2025-09-27,CUST-0029,Aurora Desk Lamp,retail,7,1247.23
T100260,2025-11-03,CUST-0037,Basalt Mug,email,7,1266.29
T100261,2025-04-14,CUST-0024,Cirrus Notebook,retail,6,1174.27
T100262,2025-06-03,CUST-0053,Ember Kettle,affiliate,3,1984.56
T100263,2025-07-21,CUST-0004,Ember Kettle,paid_search,9,385.48
T100264,2025-10-04,CUST-0036,Aurora Desk Lamp,,7,
T100265,2025-05-13,CUST-0036,Ember Kettle,affiliate,1,2023.07
T100266,2025-05-28,CUST-0008,Basalt Mug,affiliate,9,1556.59
T100267,2025-03-17,CUST-0053,Delta Backpack,email,1,1825.68
T100268,2025-10-14,CUST-0016,Cirrus Notebook,email,1,1938.16
T100269,2025-05-06,CUST-0004,Basalt Mug,email,2,90.54
T100270,2025-07-19,CUST-0011,Ember Kettle,email,8,N/A
T100271,2025-03-11,CUST-0005,Basalt Mug,retail,5,26.72
T100272,2025-11-13,CUST-0002,Basalt Mug,affiliate,4,1623.69
T100273,2025-02-06,CUST-0024,Aurora Desk Lamp,retail,3,
T100274,2025-06-18,CUST-0059,Cirrus Notebook,paid_search,7,2093.11
T100275,2025-09-08,CUST-0002,Cirrus Notebook,retail,5,937.02
T100276,2025-03-08,CUST-0029,Delta Backpack,email,4,1697.62
T100277,2025-04-06,CUST-0031,Ember Kettle,organic,7,890.59
T100278,2025-04-08,CUST-0035,Basalt Mug,organic,5,2061.84
T100279,2025-07-20,CUST-0048,Delta Backpack,organic,2,1230.34
T100280,2025-01-22,CUST-0050,Basalt Mug,organic,5,
T100281,2025-06-07,CUST-0020,Basalt Mug,email,2,1594.64
T100282,2025-02-23,CUST-0026,Delta Backpack,organic,5,755.32
T100283,2025-11-21,CUST-0045,Cirrus Notebook,organic,5,2068.74
T100284,2025-07-01,CUST-0007,Basalt Mug,retail,4,1585.84
T100285,2025-05-04,CUST-0011,Delta Backpack,affiliate,4,658.88
T100286,2025-04-25,CUST-0037,Basalt Mug,retail,1,735.75
T100287,2025-10-16,CUST-0008,Cirrus Notebook,paid_search,7,1723.32
T100288,2025-01-28,CUST-0050,Cirrus Notebook,email,4,1409.28
T100289,2025-12-03,CUST-0028,Delta Backpack,retail,4,1008.36
T100290,2025-06-23,CUST-0033,Basalt Mug,retail,9,N/A
T100291,2025-08-25,CUST-0016,Ember Kettle,affiliate,5,464.04
T100292,2025-05-08,CUST-0009,Basalt Mug,organic,6,2313.09
T100293,2025-11-23,CUST-0009,Cirrus Notebook,,4,1173.63
T100294,2025-12-10,CUST-0049,Basalt Mug,organic,4,330.56
T100295,2025-11-22,CUST-0024,Delta Backpack,retail,7,381.64
T100296,2025-04-02,CUST-0008,Basalt Mug,paid_search,5,156.07
T100297,2025-06-15,CUST-0049,Delta Backpack,paid_search,5,1131.16
T100298,2025-02-24,CUST-0013,Ember Kettle,affiliate,5,1724.53
T100299,2025-06-01,CUST-0017,Basalt Mug,email,5,870.00
T100300,2025-02-05,CUST-0041,Ember Kettle,email,7,1796.91
T100301,2025-11-06,CUST-0015,Cirrus Notebook,paid_search,6,256.00
T100302,2025-03-18,CUST-0059,Delta Backpack,paid_search,4,pending
T100303,2025-01-07,CUST-0010,Basalt Mug,retail,3,1192.58
T100304,2025-03-05,CUST-0014,Cirrus Notebook,retail,2,1070.33
T100305,2025-01-02,CUST-0046,Delta Backpack,affiliate,7,2019.89
T100306,2025-06-03,CUST-0044,Cirrus Notebook,,3,1059.60
T100307,2025-10-07,CUST-0041,Basalt Mug,affiliate,6,1131.58
T100308,2025-07-20,CUST-0024,Delta Backpack,email,6,1492.25
T100309,2025-11-21,CUST-0044,Delta Backpack,paid_search,9,338.80
T100310,2025-12-03,CUST-0016,Ember Kettle,affiliate,6,362.84
T100311,2025-08-13,CUST-0015,Cirrus Notebook,organic,3,635.46
T100312,2025-11-04,CUST-0045,Aurora Desk Lamp,paid_search,8,459.85
T100313,2025-12-17,CUST-0009,Ember Kettle,affiliate,2,2183.30
T100314,2025-09-17,CUST-0011,Basalt Mug,email,9,1718.48
T100315,2025-10-16,CUST-0024,Aurora Desk Lamp,organic,6,1862.65
T100316,2025-01-23,CUST-0057,Aurora Desk Lamp,organic,8,1431.21
T100317,2025-10-28,CUST-0049,Aurora Desk Lamp,email,6,493.42
T100318,2025-05-04,CUST-0039,Cirrus Notebook,affiliate,9,583.45
T100319,2025-02-12,CUST-0023,Basalt Mug,affiliate,2,
T100320,2025-12-15,CUST-0052,Cirrus Notebook,affiliate,8,62.82
T100321,2025-03-05,CUST-0045,Cirrus Notebook,paid_search,7,1335.54
T100322,2025-08-01,CUST-0003,Aurora Desk Lamp,organic,8,71.12
T100323,2025-03-20,CUST-0029,Delta Backpack,affiliate,7,1966.10
T100324,2025-04-28,CUST-0009,Ember Kettle,affiliate,2,2299.51
T100325,2025-10-02,CUST-0021,Aurora Desk Lamp,paid_search,8,516.78
T100326,2025-06-19,CUST-0041,Basalt Mug,organic,1,1166.45
T100327,2025-12-22,CUST-0037,Ember Kettle,retail,5,355.04
T100328,2025-10-05,CUST-0028,Ember Kettle,email,9,2381.33
T100329,2025-11-04,CUST-0020,Cirrus Notebook,paid_search,4,878.63
T100330,2025-12-12,CUST-0046,Cirrus Notebook,organic,6,1227.27
T100331,2025-11-11,CUST-0023,Basalt Mug,retail,9,2122.19
T100332,2025-03-07,CUST-0011,Ember Kettle,retail,7,29.27
T100333,2025-02-05,CUST-0022,Aurora Desk Lamp,paid_search,5,731.96
T100334,2025-04-19,CUST-0050,Delta Backpack,affiliate,3,2220.37
T100335,2025-12-28,CUST-0002,Basalt Mug,retail,6,2213.63
T100336,2025-11-09,CUST-0019,Ember Kettle,email,4,N/A
T100337,2025-11-04,CUST-0057,Ember Kettle,email,3,481.75
T100338,2025-06-24,CUST-0060,Aurora Desk Lamp,organic,5,338.36
T100339,2025-04-11,CUST-0004,Delta Backpack,email,8,792.28
T100340,2025-01-03,CUST-0056,Aurora Desk Lamp,paid_search,8,1507.63
T100341,2025-01-11,CUST-0011,Aurora Desk Lamp,paid_search,1,1359.16
T100342,2025-01-05,CUST-0044,Ember Kettle,affiliate,2,514.63
T100343,2025-09-05,CUST-0031,Aurora Desk Lamp,affiliate,6,1581.77
T100344,2025-11-10,CUST-0018,Basalt Mug,affiliate,8,1568.12
T100345,2025-05-01,CUST-0006,Aurora Desk Lamp,email,6,1344.82
T100346,2025-10-05,CUST-0039,Cirrus Notebook,affiliate,9,303.87
T100347,2025-12-05,CUST-0056,Delta Backpack,organic,9,
T100348,2025-04-21,CUST-0043,Aurora Desk Lamp,retail,8,2190.70
T100349,2025-02-26,CUST-0059,Delta Backpack,retail,6,unknown
T100350,2025-11-21,CUST-0023,Basalt Mug,email,5,
T100351,2025-06-25,CUST-0051,Basalt Mug,paid_search,5,1028.36
T100352,2025-08-28,CUST-0032,Basalt Mug,paid_search,3,2242.12
T100353,2025-03-11,CUST-0055,Cirrus Notebook,affiliate,8,1642.46
T100354,2025-01-25,CUST-0044,Aurora Desk Lamp,retail,3,1860.17
T100355,2025-02-05,CUST-0007,Basalt Mug,email,3,2338.72
T100356,2025-08-22,CUST-0022,Aurora Desk Lamp,retail,6,960.45
T100357,2025-10-08,CUST-0045,Aurora Desk Lamp,email,1,492.89
T100358,2025-12-01,CUST-0009,Ember Kettle,paid_search,2,127.38
T100359,2025-07-01,CUST-0034,Cirrus Notebook,affiliate,3,439.41
T100360,2025-08-03,CUST-0017,Cirrus Notebook,organic,4,846.47
T100361,2025-02-02,CUST-0021,Aurora Desk Lamp,email,7,481.11
T100362,2025-11-15,CUST-0046,Cirrus Notebook,affiliate,6,1311.00
T100363,2025-07-14,CUST-0027,Basalt Mug,retail,7,772.02
T100364,2025-11-01,CUST-0053,Basalt Mug,affiliate,5,582.95
T100365,2025-11-04,CUST-0021,Delta Backpack,affiliate,1,219.31
T100366,2025-09-22,CUST-0022,Ember Kettle,affiliate,1,765.69
T100367,2025-09-13,CUST-0040,Cirrus Notebook,retail,6,571.83
T100368,2025-02-21,CUST-0023,Ember Kettle,organic,5,1915.99
T100369,2025-10-16,CUST-0034,Basalt Mug,organic,2,1374.84
T100370,2025-06-08,CUST-0042,Aurora Desk Lamp,organic,8,1620.75
T100371,2025-06-13,CUST-0024,Cirrus Notebook,retail,2,875.89
T100372,2025-11-26,CUST-0029,Aurora Desk Lamp,paid_search,8,1259.93
T100373,2025-08-21,CUST-0034,Basalt Mug,organic,9,1154.28
T100374,2025-10-12,CUST-0004,Ember Kettle,retail,5,
T100375,2025-03-10,CUST-0034,Delta Backpack,paid_search,6,1727.02
